from,to,x1,y1,x2,y2,strength
Bern,Ettenhausen TG,7.4515008,46.9482759,8.8980463,47.4780375,3
Bern,Fribourg,7.4515008,46.9482759,7.16175552542195,46.8033192,12
Bern,Frick,7.4515008,46.9482759,8.0203065,47.5075081,4
Bern,Genève,7.4515008,46.9482759,6.1431577,46.2043907,53
Bern,Granges-Paccot,7.4515008,46.9482759,7.1403764,46.823134,1
Bern,Hinterkappelen,7.4515008,46.9482759,7.3774383,46.967846,1
Bern,Horw,7.4515008,46.9482759,8.3107797,47.0185008,1
Bern,Langenthal,7.4515008,46.9482759,7.7888427,47.2115846,1
Bern,Lausanne,7.4515008,46.9482759,6.6322734,46.5196535,61
Bern,Liebefeld,7.4515008,46.9482759,7.4204692,46.9322404,3
Bern,Liestal,7.4515008,46.9482759,7.7347783,47.4839723,3
Bern,Lugano,7.4515008,46.9482759,8.951052,46.0036778,8
Bern,Luzern,7.4515008,46.9482759,8.3093072,47.0501682,18
Bern,Magglingen/Macolin,7.4515008,46.9482759,7.2141817,47.1392888,1
Bern,Meyrin,7.4515008,46.9482759,6.0817791,46.2328413,1
Bern,Muttenz,7.4515008,46.9482759,7.6477401,47.525113,1
Bern,Neuchâtel,7.4515008,46.9482759,6.9292732,46.9899874,5
Bern,Neuchâtel OFS,7.4515008,46.9482759,6.771555,46.9751954,2
Bern,Nottwil,7.4515008,46.9482759,8.1359343,47.1347804,1
Bern,Olten,7.4515008,46.9482759,7.9053185,47.3507365,4
Bern,Payerne,7.4515008,46.9482759,6.939126,46.8208047,2
Bern,Prilly,7.4515008,46.9482759,6.6113784,46.5374332,1
Bern,Rüschlikon,7.4515008,46.9482759,8.5529459,47.3063522,1
Bern,Schlieren,7.4515008,46.9482759,8.4444861,47.3965147,1
Bern,Schwerzenbach,7.4515008,46.9482759,8.6544519,47.380845,1
Bern,Sierre,7.4515008,46.9482759,7.5323195,46.2922522,1
Bern,Sion,7.4515008,46.9482759,7.3588795,46.2311749,1
Bern,Spiez,7.4515008,46.9482759,7.6774655,46.6919473,1
Bern,St. Gallen,7.4515008,46.9482759,9.3765878,47.4250593,11
Bern,Thun,7.4515008,46.9482759,7.628086,46.7582827,1
Bern,Uster,7.4515008,46.9482759,8.7179221,47.3512065,1
Bern,Verscio,7.4515008,46.9482759,8.7311841,46.18599,1
Bern,Versoix,7.4515008,46.9482759,6.168958,46.2767572,2
Bern,Villigen PSI,7.4515008,46.9482759,8.2298436,47.5386046,9
Bern,Wädenswil,7.4515008,46.9482759,8.6718189,47.2296871,2
Bern,Winterthur,7.4515008,46.9482759,8.7291495,47.4991692,2
Bern,Yverdon,7.4515008,46.9482759,6.6349038,46.7610069,1
Bern,Yverdon-les-Bains,7.4515008,46.9482759,6.6409158,46.7785711,1
Bern,Zollikofen,7.4515008,46.9482759,7.4576417,46.9959463,1
Bern,Zug,7.4515008,46.9482759,8.5154946,47.1661672,1
Bern,Zürich,7.4515008,46.9482759,8.541694,47.3768866,111
Bern,Zürich Helsana Versicherungen AG,7.4515008,46.9482759,8.544036,47.377503,1
Bern UPD,Lausanne,7.48300189018832,46.96612025,6.6322734,46.5196535,2
Bern UPD,Luzern,7.48300189018832,46.96612025,8.3093072,47.0501682,1
Bern UPD,Zürich,7.48300189018832,46.96612025,8.541694,47.3768866,1
Bern-Wabern,Dübendorf,7.4605554,46.9230742,8.6180128,47.3971476,1
Bern-Wabern,Villigen PSI,7.4605554,46.9230742,8.2298436,47.5386046,1
Biel/Bienne,Neuchâtel,7.2585667,47.1420451,6.9292732,46.9899874,2
Biel/Bienne,Zollikofen,7.2585667,47.1420451,7.4576417,46.9959463,1
Biel/Bienne,Zürich,7.2585667,47.1420451,8.541694,47.3768866,1
Birmensdorf ZH,Birmensdorf ZH Kaserne,8.43963311704182,47.35195245,8.4300158,47.3591073,1
Birmensdorf ZH,Davos Dorf,8.43963311704182,47.35195245,9.8387391,46.8048524,1
Birmensdorf ZH,Dübendorf,8.43963311704182,47.35195245,8.6180128,47.3971476,3
Birmensdorf ZH,Epalinges,8.43963311704182,47.35195245,6.6726245,46.547327,1
Birmensdorf ZH,Frick,8.43963311704182,47.35195245,8.0203065,47.5075081,1
Birmensdorf ZH,Kreuzlingen,8.43963311704182,47.35195245,9.1725561,47.6464245,1
Birmensdorf ZH,Lausanne,8.43963311704182,47.35195245,6.6322734,46.5196535,1
Birmensdorf ZH,Liebefeld,8.43963311704182,47.35195245,7.4204692,46.9322404,1
Birmensdorf ZH,Nyon,8.43963311704182,47.35195245,6.2398898,46.3821531,1
Birmensdorf ZH,Payerne,8.43963311704182,47.35195245,6.939126,46.8208047,2
Birmensdorf ZH,Villigen PSI,8.43963311704182,47.35195245,8.2298436,47.5386046,1
Birmensdorf ZH,Zollikofen,8.43963311704182,47.35195245,7.4576417,46.9959463,1
Birmensdorf ZH,Zürich,8.43963311704182,47.35195245,8.541694,47.3768866,8
Birmensdorf ZH Kaserne,Kreuzlingen,8.4300158,47.3591073,9.1725561,47.6464245,1
Birmensdorf ZH Kaserne,Zollikofen,8.4300158,47.3591073,7.4576417,46.9959463,1
Birmensdorf ZH Kaserne,Zürich,8.4300158,47.3591073,8.541694,47.3768866,1
Bramois,Sion,7.4038983,46.2321819,7.3588795,46.2311749,1
Bramois,St-Maurice,7.4038983,46.2321819,7.0052877,46.2148346,1
Brugg AG,Genève,8.2085662,47.4824633,6.1431577,46.2043907,1
Brugg AG,Lugano,8.2085662,47.4824633,8.951052,46.0036778,1
Brugg AG,Viganello,8.2085662,47.4824633,8.9674303,46.0133003,1
Cadenazzo,Ettenhausen TG,8.9458703,46.1509697,8.8980463,47.4780375,1
Cadenazzo,Genève,8.9458703,46.1509697,6.1431577,46.2043907,2
Cadenazzo,Lausanne,8.9458703,46.1509697,6.6322734,46.5196535,1
Cadenazzo,Zürich,8.9458703,46.1509697,8.541694,47.3768866,1
Canobbio,Horw,8.96715699495065,46.03721145,8.3107797,47.0185008,1
Canobbio,Locarno,8.96715699495065,46.03721145,8.7942643,46.1669988,1
Canobbio,Lugano,8.96715699495065,46.03721145,8.951052,46.0036778,1
Canobbio,Müstair,8.96715699495065,46.03721145,10.445857,46.6261772,1
Canobbio,Neuchâtel,8.96715699495065,46.03721145,6.9292732,46.9899874,1
Canobbio,Rapperswil SG,8.96715699495065,46.03721145,8.8245459,47.2269198,1
Canobbio,Rüschlikon,8.96715699495065,46.03721145,8.5529459,47.3063522,1
Canobbio,Villigen PSI,8.96715699495065,46.03721145,8.2298436,47.5386046,1
Canobbio,Zürich,8.96715699495065,46.03721145,8.541694,47.3768866,1
Carouge,Genève,6.1396839,46.1846691,6.1431577,46.2043907,4
Carouge,Lausanne,6.1396839,46.1846691,6.6322734,46.5196535,4
Carouge,Martigny,6.1396839,46.1846691,7.0727354,46.103115,1
Carouge,Payerne,6.1396839,46.1846691,6.939126,46.8208047,1
Carouge,Zürich,6.1396839,46.1846691,8.541694,47.3768866,1
Carouge GE,Chur,6.1396839,46.1846691,9.5254066,46.855515,1
Carouge GE,Genève,6.1396839,46.1846691,6.1431577,46.2043907,4
Carouge GE,Lausanne,6.1396839,46.1846691,6.6322734,46.5196535,1
Carouge GE,Zürich,6.1396839,46.1846691,8.541694,47.3768866,2
Chêne-Bourg,Genève,6.19731,46.19735,6.1431577,46.2043907,12
Chêne-Bourg,Lausanne,6.19731,46.19735,6.6322734,46.5196535,5
Chêne-Bourg,Neuchâtel,6.19731,46.19735,6.9292732,46.9899874,1
Chêne-Bourg,Prilly,6.19731,46.19735,6.6113784,46.5374332,3
Chêne-Bourg,Schlieren,6.19731,46.19735,8.4444861,47.3965147,1
Chêne-Bourg,Thônex,6.19731,46.19735,6.202767,46.1928374,1
Chêne-Bourg,Zürich,6.19731,46.19735,8.541694,47.3768866,2
Chur,Genève,9.5254066,46.855515,6.1431577,46.2043907,1
Chur,Neuchâtel,9.5254066,46.855515,6.9292732,46.9899874,1
Chur,St. Gallen,9.5254066,46.855515,9.3765878,47.4250593,1
Chur,Zürich,9.5254066,46.855515,8.541694,47.3768866,5
Contone,Nyon,8.9261455,46.1487696,6.2398898,46.3821531,1
Contone,Zürich,8.9261455,46.1487696,8.541694,47.3768866,1
Davos Dorf,Dübendorf,9.8387391,46.8048524,8.6180128,47.3971476,1
Davos Dorf,Ftan,9.8387391,46.8048524,10.2488557,46.7951677,1
Davos Dorf,Lausanne,9.8387391,46.8048524,6.6322734,46.5196535,2
Davos Dorf,Villigen PSI,9.8387391,46.8048524,8.2298436,47.5386046,2
Davos Dorf,Zürich,9.8387391,46.8048524,8.541694,47.3768866,6
Davos Platz,Zürich,9.8181248,46.7947944,8.541694,47.3768866,4
Delémont,Neuchâtel,7.3451555,47.365837,6.9292732,46.9899874,2
Dübendorf,Ettenhausen TG,8.6180128,47.3971476,8.8980463,47.4780375,1
Dübendorf,Fribourg,8.6180128,47.3971476,7.16175552542195,46.8033192,2
Dübendorf,Genève,8.6180128,47.3971476,6.1431577,46.2043907,4
Dübendorf,Horw,8.6180128,47.3971476,8.3107797,47.0185008,1
Dübendorf,Kastanienbaum,8.6180128,47.3971476,8.33487,47.0130792,2
Dübendorf,Kilchberg ZH,8.6180128,47.3971476,8.54837504620962,47.3254261,1
Dübendorf,Lausanne,8.6180128,47.3971476,6.6322734,46.5196535,15
Dübendorf,Lugano,8.6180128,47.3971476,8.951052,46.0036778,1
Dübendorf,Luzern,8.6180128,47.3971476,8.3093072,47.0501682,1
Dübendorf,Muttenz,8.6180128,47.3971476,7.6477401,47.525113,1
Dübendorf,Neuchâtel,8.6180128,47.3971476,6.9292732,46.9899874,3
Dübendorf,Payerne,8.6180128,47.3971476,6.939126,46.8208047,3
Dübendorf,Rapperswil SG,8.6180128,47.3971476,8.8245459,47.2269198,3
Dübendorf,Rüschlikon,8.6180128,47.3971476,8.5529459,47.3063522,4
Dübendorf,St. Gallen,8.6180128,47.3971476,9.3765878,47.4250593,1
Dübendorf,Villigen PSI,8.6180128,47.3971476,8.2298436,47.5386046,7
Dübendorf,Wädenswil,8.6180128,47.3971476,8.6718189,47.2296871,3
Dübendorf,Windisch,8.6180128,47.3971476,8.2179918,47.4793472,1
Dübendorf,Winterthur,8.6180128,47.3971476,8.7291495,47.4991692,1
Dübendorf,Yverdon,8.6180128,47.3971476,6.6349038,46.7610069,2
Dübendorf,Zürich,8.6180128,47.3971476,8.541694,47.3768866,33
Emmenbrücke,Luzern,8.275637,47.0772338,8.3093072,47.0501682,1
Emmenbrücke,Zürich,8.275637,47.0772338,8.541694,47.3768866,1
Epalinges,Fribourg,6.6726245,46.547327,7.16175552542195,46.8033192,1
Epalinges,Genève,6.6726245,46.547327,6.1431577,46.2043907,7
Epalinges,Lausanne,6.6726245,46.547327,6.6322734,46.5196535,18
Epalinges,Lausanne-Chuv,6.6726245,46.547327,6.64113,46.5267,1
Epalinges,Lugano,6.6726245,46.547327,8.951052,46.0036778,1
Epalinges,Prilly,6.6726245,46.547327,6.6113784,46.5374332,1
Epalinges,Schlieren,6.6726245,46.547327,8.4444861,47.3965147,1
Epalinges,St. Gallen,6.6726245,46.547327,9.3765878,47.4250593,2
Epalinges,Zürich,6.6726245,46.547327,8.541694,47.3768866,4
Ettenhausen TG,Frick,8.8980463,47.4780375,8.0203065,47.5075081,1
Ettenhausen TG,Genève,8.8980463,47.4780375,6.1431577,46.2043907,1
Ettenhausen TG,Lausanne,8.8980463,47.4780375,6.6322734,46.5196535,1
Ettenhausen TG,Muttenz,8.8980463,47.4780375,7.6477401,47.525113,1
Ettenhausen TG,Wädenswil,8.8980463,47.4780375,8.6718189,47.2296871,1
Ettenhausen TG,Zürich,8.8980463,47.4780375,8.541694,47.3768866,2
Fribourg,Gattikon,7.16175552542195,46.8033192,8.5487611,47.2843053,1
Fribourg,Genève,7.16175552542195,46.8033192,6.1431577,46.2043907,25
Fribourg,Granges-Paccot,7.16175552542195,46.8033192,7.1403764,46.823134,1
Fribourg,Langenthal,7.16175552542195,46.8033192,7.7888427,47.2115846,1
Fribourg,Lausanne,7.16175552542195,46.8033192,6.6322734,46.5196535,41
Fribourg,Liestal,7.16175552542195,46.8033192,7.7347783,47.4839723,1
Fribourg,Lugano,7.16175552542195,46.8033192,8.951052,46.0036778,2
Fribourg,Luzern,7.16175552542195,46.8033192,8.3093072,47.0501682,3
Fribourg,Morges,7.16175552542195,46.8033192,6.498317,46.5093268,1
Fribourg,Muttenz,7.16175552542195,46.8033192,7.6477401,47.525113,1
Fribourg,Neuchâtel,7.16175552542195,46.8033192,6.9292732,46.9899874,9
Fribourg,Nyon,7.16175552542195,46.8033192,6.2398898,46.3821531,1
Fribourg,Olten,7.16175552542195,46.8033192,7.9053185,47.3507365,1
Fribourg,Romont FR,7.16175552542195,46.8033192,6.92302614864853,46.6986114,1
Fribourg,Rüschlikon,7.16175552542195,46.8033192,8.5529459,47.3063522,1
Fribourg,Sembrancher,7.16175552542195,46.8033192,7.1517153,46.0784832,1
Fribourg,Sion,7.16175552542195,46.8033192,7.3588795,46.2311749,1
Fribourg,St. Gallen,7.16175552542195,46.8033192,9.3765878,47.4250593,2
Fribourg,Vevey,7.16175552542195,46.8033192,6.8427295,46.4634985,1
Fribourg,Villigen PSI,7.16175552542195,46.8033192,8.2298436,47.5386046,3
Fribourg,Yverdon-les-Bains,7.16175552542195,46.8033192,6.6409158,46.7785711,1
Fribourg,Zürich,7.16175552542195,46.8033192,8.541694,47.3768866,29
Frick,Muttenz,8.0203065,47.5075081,7.6477401,47.525113,1
Frick,Rüschlikon,8.0203065,47.5075081,8.5529459,47.3063522,1
Frick,Uster,8.0203065,47.5075081,8.7179221,47.3512065,1
Frick,Wädenswil,8.0203065,47.5075081,8.6718189,47.2296871,2
Frick,Winterthur,8.0203065,47.5075081,8.7291495,47.4991692,1
Frick,Zürich,8.0203065,47.5075081,8.541694,47.3768866,5
Genève,Granges-Paccot,6.1431577,46.2043907,7.1403764,46.823134,2
Genève,Horgen,6.1431577,46.2043907,8.5976831,47.260692,1
Genève,Kastanienbaum,6.1431577,46.2043907,8.33487,47.0130792,2
Genève,Lausanne,6.1431577,46.2043907,6.6322734,46.5196535,98
Genève,Liestal,6.1431577,46.2043907,7.7347783,47.4839723,3
Genève,Locarno,6.1431577,46.2043907,8.7942643,46.1669988,2
Genève,Lugano,6.1431577,46.2043907,8.951052,46.0036778,10
Genève,Luzern,6.1431577,46.2043907,8.3093072,47.0501682,9
Genève,Martigny,6.1431577,46.2043907,7.0727354,46.103115,2
Genève,Meyrin,6.1431577,46.2043907,6.0817791,46.2328413,1
Genève,Morges,6.1431577,46.2043907,6.498317,46.5093268,1
Genève,Münchenstein,6.1431577,46.2043907,7.6150661,47.5226485,1
Genève,Neuchâtel,6.1431577,46.2043907,6.9292732,46.9899874,17
Genève,Neuchâtel OFS,6.1431577,46.2043907,6.771555,46.9751954,1
Genève,Nyon,6.1431577,46.2043907,6.2398898,46.3821531,1
Genève,Olten,6.1431577,46.2043907,7.9053185,47.3507365,1
Genève,Payerne,6.1431577,46.2043907,6.939126,46.8208047,1
Genève,Prilly,6.1431577,46.2043907,6.6113784,46.5374332,4
Genève,Rüschlikon,6.1431577,46.2043907,8.5529459,47.3063522,1
Genève,Schlieren,6.1431577,46.2043907,8.4444861,47.3965147,1
Genève,Sierre,6.1431577,46.2043907,7.5323195,46.2922522,1
Genève,Sion,6.1431577,46.2043907,7.3588795,46.2311749,4
Genève,St. Gallen,6.1431577,46.2043907,9.3765878,47.4250593,15
Genève,Thônex,6.1431577,46.2043907,6.202767,46.1928374,2
Genève,Versoix,6.1431577,46.2043907,6.168958,46.2767572,4
Genève,Vevey,6.1431577,46.2043907,6.8427295,46.4634985,1
Genève,Viganello,6.1431577,46.2043907,8.9674303,46.0133003,1
Genève,Villigen PSI,6.1431577,46.2043907,8.2298436,47.5386046,7
Genève,Windisch,6.1431577,46.2043907,8.2179918,47.4793472,4
Genève,Winterthur,6.1431577,46.2043907,8.7291495,47.4991692,2
Genève,Yverdon,6.1431577,46.2043907,6.6349038,46.7610069,1
Genève,Yverdon-les-Bains,6.1431577,46.2043907,6.6409158,46.7785711,1
Genève,Zürich,6.1431577,46.2043907,8.541694,47.3768866,71
Givisiez,Lausanne,7.1294701,46.814593,6.6322734,46.5196535,1
Givisiez,Neuchâtel,7.1294701,46.814593,6.9292732,46.9899874,1
Givisiez,Zürich,7.1294701,46.814593,8.541694,47.3768866,1
Horgen,Payerne,8.5976831,47.260692,6.939126,46.8208047,1
Horgen,Winterthur,8.5976831,47.260692,8.7291495,47.4991692,1
Horgen,Zürich,8.5976831,47.260692,8.541694,47.3768866,1
Horw,Neuchâtel,8.3107797,47.0185008,6.9292732,46.9899874,1
Ittigen,Lausanne,7.4815213,46.9790726,6.6322734,46.5196535,1
Kilchberg ZH,Zürich,8.54837504620962,47.3254261,8.541694,47.3768866,1
Kreuzlingen,Zollikofen,9.1725561,47.6464245,7.4576417,46.9959463,1
Kreuzlingen,Zürich,9.1725561,47.6464245,8.541694,47.3768866,2
Langenthal,Zürich,7.7888427,47.2115846,8.541694,47.3768866,1
Lausanne,Lausanne-Chuv,6.6322734,46.5196535,6.64113,46.5267,2
Lausanne,Liestal,6.6322734,46.5196535,7.7347783,47.4839723,3
Lausanne,Locarno,6.6322734,46.5196535,8.7942643,46.1669988,1
Lausanne,Lugano,6.6322734,46.5196535,8.951052,46.0036778,13
Lausanne,Luzern,6.6322734,46.5196535,8.3093072,47.0501682,8
Lausanne,Martigny,6.6322734,46.5196535,7.0727354,46.103115,2
Lausanne,Morges,6.6322734,46.5196535,6.498317,46.5093268,1
Lausanne,Neuchâtel,6.6322734,46.5196535,6.9292732,46.9899874,25
Lausanne,Nyon,6.6322734,46.5196535,6.2398898,46.3821531,3
Lausanne,Olten,6.6322734,46.5196535,7.9053185,47.3507365,2
Lausanne,Payerne,6.6322734,46.5196535,6.939126,46.8208047,1
Lausanne,Prilly,6.6322734,46.5196535,6.6113784,46.5374332,10
Lausanne,Rüschlikon,6.6322734,46.5196535,8.5529459,47.3063522,1
Lausanne,Schlieren,6.6322734,46.5196535,8.4444861,47.3965147,2
Lausanne,Sierre,6.6322734,46.5196535,7.5323195,46.2922522,1
Lausanne,Sion,6.6322734,46.5196535,7.3588795,46.2311749,9
Lausanne,Spiez,6.6322734,46.5196535,7.6774655,46.6919473,1
Lausanne,St. Gallen,6.6322734,46.5196535,9.3765878,47.4250593,12
Lausanne,St-Sulpice VD,6.6322734,46.5196535,6.5621163,46.5080244,1
Lausanne,Versoix,6.6322734,46.5196535,6.168958,46.2767572,4
Lausanne,Vevey,6.6322734,46.5196535,6.8427295,46.4634985,1
Lausanne,Villigen PSI,6.6322734,46.5196535,8.2298436,47.5386046,15
Lausanne,Wädenswil,6.6322734,46.5196535,8.6718189,47.2296871,3
Lausanne,Windisch,6.6322734,46.5196535,8.2179918,47.4793472,3
Lausanne,Winterthur,6.6322734,46.5196535,8.7291495,47.4991692,3
Lausanne,Yverdon,6.6322734,46.5196535,6.6349038,46.7610069,7
Lausanne,Yverdon-les-Bains,6.6322734,46.5196535,6.6409158,46.7785711,2
Lausanne,Zürich,6.6322734,46.5196535,8.541694,47.3768866,97
Lausanne-Chuv,Lugano,6.64113,46.5267,8.951052,46.0036778,1
Lausanne-Chuv,Prilly,6.64113,46.5267,6.6113784,46.5374332,1
Lausanne-Chuv,St. Gallen,6.64113,46.5267,9.3765878,47.4250593,1
Lausanne-Chuv,Zürich,6.64113,46.5267,8.541694,47.3768866,1
Le Mont-sur-Lausanne,Zürich,6.640144,46.554765,8.541694,47.3768866,1
Liebefeld,Zürich,7.4204692,46.9322404,8.541694,47.3768866,3
Liestal,Locarno,7.7347783,47.4839723,8.7942643,46.1669988,2
Liestal,Luzern,7.7347783,47.4839723,8.3093072,47.0501682,1
Liestal,Windisch,7.7347783,47.4839723,8.2179918,47.4793472,2
Liestal,Zürich,7.7347783,47.4839723,8.541694,47.3768866,5
Liestal,Zürich Helsana Versicherungen AG,7.7347783,47.4839723,8.544036,47.377503,1
Locarno,Lugano,8.7942643,46.1669988,8.951052,46.0036778,1
Locarno,Windisch,8.7942643,46.1669988,8.2179918,47.4793472,2
Locarno,Zürich,8.7942643,46.1669988,8.541694,47.3768866,3
Lugano,Luzern,8.951052,46.0036778,8.3093072,47.0501682,1
Lugano,Neuchâtel,8.951052,46.0036778,6.9292732,46.9899874,2
Lugano,Prilly,8.951052,46.0036778,6.6113784,46.5374332,1
Lugano,Rüschlikon,8.951052,46.0036778,8.5529459,47.3063522,3
Lugano,St. Gallen,8.951052,46.0036778,9.3765878,47.4250593,5
Lugano,Viganello,8.951052,46.0036778,8.9674303,46.0133003,1
Lugano,Villigen PSI,8.951052,46.0036778,8.2298436,47.5386046,4
Lugano,Zürich,8.951052,46.0036778,8.541694,47.3768866,16
Luzern,Neuchâtel,8.3093072,47.0501682,6.9292732,46.9899874,2
Luzern,St. Gallen,8.3093072,47.0501682,9.3765878,47.4250593,3
Luzern,Zürich,8.3093072,47.0501682,8.541694,47.3768866,12
Luzern,Zürich Helsana Versicherungen AG,8.3093072,47.0501682,8.544036,47.377503,1
Martigny,Sierre,7.0727354,46.103115,7.5323195,46.2922522,1
Martigny,Zürich,7.0727354,46.103115,8.541694,47.3768866,3
Morges,Neuchâtel,6.498317,46.5093268,6.9292732,46.9899874,1
Morges,Nyon,6.498317,46.5093268,6.2398898,46.3821531,1
Morges,Sion,6.498317,46.5093268,7.3588795,46.2311749,1
